timestamp,vus,latency_ms,memory_mb,messages_total
124,853.0,6687.63,20.30,5367.0
126,864.0,6852.57,21.13,5427.0
128,875.0,7004.76,21.97,5481.0
130,886.0,7172.16,22.81,5539.0
132,898.0,7339.93,15.05,5596.0
134,909.0,7507.56,15.92,5652.0
136,920.0,7678.52,16.75,5708.0
138,933.0,7861.19,17.59,5767.0
140,944.0,8036.92,18.41,5823.0
142,956.0,8205.65,19.24,5876.0
144,966.0,8367.84,20.07,5926.0
146,977.0,8527.34,20.88,5974.0
148,987.0,8690.11,21.70,6022.0
150,997.0,8856.37,22.52,6070.0
152,1008.0,9029.08,23.33,6119.0
154,1017.0,9191.36,24.15,6164.0
156,1029.0,9371.40,24.97,6213.0
158,1039.0,9547.01,25.77,6260.0
160,1051.0,9724.97,26.59,6307.0
162,1063.0,9897.41,27.41,6352.0
164,1074.0,10079.46,28.21,6399.0
166,1085.0,10256.02,29.03,6444.0
168,1096.0,10427.14,18.47,6487.0
170,1107.0,10608.68,19.27,6532.0
172,1118.0,10796.45,20.09,6578.0
174,1129.0,10982.02,20.90,6623.0
177,1140.0,11165.67,21.71,6667.0
179,1150.0,11343.27,22.52,6709.0
181,1160.0,11519.59,23.32,6750.0
183,1171.0,11702.80,24.12,6792.0
185,1182.0,11892.48,24.95,6835.0
187,1193.0,12070.75,25.76,6875.0
189,1204.0,12246.29,26.55,6914.0
191,1216.0,12427.97,27.36,6954.0
193,1227.0,12611.27,28.16,6994.0
195,1238.0,12795.95,28.97,7034.0
197,1250.0,12982.14,29.76,7074.0
199,1261.0,13170.21,30.57,7114.0
201,1273.0,13354.91,31.37,7153.0
203,1284.0,13536.16,32.16,7191.0
205,1295.0,13719.11,32.96,7229.0
207,1306.0,13903.95,33.76,7267.0
209,1317.0,14085.49,34.55,7304.0
211,1328.0,14273.84,35.35,7342.0
213,1338.0,14453.92,36.15,7378.0
215,1349.0,14635.75,22.77,7414.0
217,1359.0,14814.75,23.56,7449.0
219,1369.0,14995.67,24.36,7484.0
221,1380.0,15178.33,25.15,7519.0
223,1391.0,15362.69,25.94,7554.0
225,1402.0,15553.85,26.74,7590.0
227,1412.0,15736.13,27.53,7624.0
229,1422.0,15920.20,28.32,7658.0
231,1432.0,16106.29,29.11,7692.0
233,1442.0,16294.46,29.90,7726.0
235,1452.0,16478.83,30.69,7759.0
237,1462.0,16670.67,31.48,7793.0
239,1472.0,16858.68,32.27,7826.0
241,1483.0,17048.21,33.05,7859.0
243,1494.0,17233.33,33.85,7891.0
245,1504.0,17425.73,34.64,7924.0
247,1514.0,17608.04,35.42,7955.0
249,1524.0,17798.23,36.21,7987.0
251,1533.0,17972.43,36.99,8016.0
253,1543.0,18154.53,37.77,8046.0
255,1553.0,18344.41,38.55,8077.0
257,1563.0,18529.94,39.34,8107.0
259,1573.0,18723.20,40.12,8138.0
261,1583.0,18911.68,40.91,8168.0
263,1593.0,19108.27,41.69,8199.0
265,1603.0,19293.80,42.47,8228.0
267,1613.0,19500.20,43.26,8260.0
269,1623.0,19701.59,44.05,8291.0
271,1633.0,19891.38,44.82,8320.0
273,1641.0,20056.93,28.26,8345.0
275,1650.0,20244.26,29.04,8373.0
277,1659.0,20426.81,29.84,8400.0
279,1668.0,20611.12,30.61,8427.0
281,1677.0,20790.47,31.39,8453.0
283,1686.0,20978.54,32.16,8480.0
285,1695.0,21161.28,32.94,8506.0
287,1704.0,21359.80,33.72,8534.0
289,1713.0,21538.78,34.49,8559.0
291,1722.0,21733.74,35.27,8586.0
293,1732.0,21923.09,36.05,8612.0
295,1740.0,22114.09,36.82,8638.0
297,1750.0,22314.00,37.60,8665.0
299,1759.0,22508.25,38.38,8691.0
301,1768.0,22704.10,39.15,8717.0
303,1778.0,22901.46,39.81,8743.0
305,1787.0,23100.19,40.44,8769.0
307,1797.0,23292.75,41.02,8794.0
309,1806.0,23494.37,41.59,8820.0
311,1815.0,23689.65,42.17,8845.0
313,1824.0,23886.47,42.78,8870.0
315,1834.0,24092.61,43.36,8896.0
317,1843.0,24308.07,43.94,8923.0
319,1853.0,24516.73,44.53,8949.0
321,1863.0,24734.67,45.11,8976.0
324,1873.0,24953.78,45.69,9003.0
326,1882.0,25149.76,46.27,9027.0
328,1892.0,25363.48,46.84,9053.0
330,1902.0,25578.21,47.42,9079.0
332,1911.0,25785.92,48.00,9104.0
334,1922.0,26011.45,48.58,9131.0
336,1932.0,26229.74,49.15,9157.0
338,1942.0,26449.22,49.73,9183.0
340,1952.0,26678.13,50.31,9210.0
342,1962.0,26899.52,50.89,9236.0
344,1971.0,27096.32,51.47,9259.0
346,1980.0,27303.25,52.05,9283.0
348,1989.0,27511.41,52.73,9307.0
350,1999.0,27729.37,53.60,9332.0
352,2009.0,27957.29,54.64,9358.0
354,2020.0,28203.50,55.90,9386.0
356,2031.0,28467.84,31.42,9416.0
358,2044.0,28758.42,33.25,9449.0
360,2059.0,29057.19,35.37,9483.0
362,2073.0,29372.35,37.84,9519.0
364,2091.0,29728.32,40.66,9560.0
366,2110.0,30114.88,44.13,9605.0
368,2130.0,30513.20,48.28,9652.0
370,2150.0,30930.61,58.03,9702.0
372,2172.0,31373.44,31.64,9756.0
374,2197.0,31839.25,38.64,9814.0
376,2223.0,32332.40,46.73,9877.0
378,2253.0,32886.27,56.59,9950.0
380,2292.0,33466.61,34.79,10030.0
382,2337.0,34129.78,49.61,10127.0
384,2390.0,34836.90,34.13,10239.0
386,2459.0,35666.98,59.11,10386.0
388,2500.0,36578.42,59.78,10578.0
390,2500.0,37622.80,46.81,10885.0
